display_name,pdl_name,website,type
Maryland Institute College Of Art,maryland institute college of art,www.mica.edu/,post-secondary
Texas State Technical College,texas state technical college,www.tstc.edu/,post-secondary
Studio Beauty School,studio beauty school,www.studiobeautyschool.com/,post-secondary
Latin Beauty Academy,latin beauty academy,www.latinbeautyacademy.edu/,post-secondary
Arizona College Of Nursing,arizona college of nursing,https://www.arizonacollege.edu/,post-secondary
Spoon River College,spoon river college,www.src.edu/,post-secondary
Mount Vernon Nazarene University,mount vernon nazarene university,www.mvnu.edu/,post-secondary
Arthur's Beauty College,arthur's beauty college inc,www.arthursbeautycollege.com/,post-secondary
Suny Morrisville,state university of new york college of agriculture and technology at morrisville,www.morrisville.edu/,post-secondary
Bucknell University,bucknell university,www.bucknell.edu/,post-secondary
Sam Houston State University,sam houston state university,www.shsu.edu/,post-secondary
Lake Erie College Of Osteopathic Medicine,lake erie college of osteopathic medicine,www.lecom.edu/,post-secondary
University Of South Alabama,university of south alabama,www.southalabama.edu/,post-secondary
Rhodes College,rhodes college,www.rhodes.edu/,post-secondary
PJ's College Of Cosmetology-Glasgow,pj's college of cosmetology-glasgow,www.gotopjs.com/,post-secondary
Westmoreland County Community College,westmoreland county community college,https://westmoreland.edu/,post-secondary
Metro Tech,metro tech,https://www.metrotech.edu/,post-secondary
Long Beach City College,long beach city college,www.lbcc.edu/,post-secondary
Mount Marty University,mount marty university,www.mountmarty.edu/,post-secondary
University Of Pittsburgh-Bradford,university of pittsburgh at bradford,www.upb.pitt.edu/,post-secondary
University Of Phoenix,university of phoenix,https://www.phoenix.edu/,post-secondary
Northern Vermont University,northern vermont university,www.northernvermont.edu/,post-secondary
Guilford Technical Community College,guilford technical community college,www.gtcc.edu/,post-secondary
Washington University In St. Louis,washington university in st. louis,www.wustl.edu/,post-secondary
Vaughn College Of Aeronautics And Technology,vaughn college of aeronautics and technology,www.vaughn.edu/,post-secondary
Chamberlain University,chamberlain university,https://www.chamberlain.edu/,post-secondary
Utica University,utica university,https://www.utica.edu/,post-secondary
UC Santa Barbara,uc santa barbara,www.ucsb.edu/,post-secondary
Saint Mary's College Of California,saint mary's college of california,https://www.stmarys-ca.edu/,post-secondary
University Of Connecticut-Stamford,university of connecticut-stamford,stamford.uconn.edu/,post-secondary
North Arkansas College,north arkansas college,www.northark.edu/,post-secondary
Villanova University,villanova university,www.villanova.edu/,post-secondary
Wellspring School Of Allied Health Kansas City,wellspring school of allied health kansas city,www.wellspring.edu/,post-secondary
Eckerd College,eckerd college,https://www.eckerd.edu/,post-secondary
Brescia University,brescia university,www.brescia.edu/,post-secondary
Franklin College,franklin college,www.franklincollege.edu/,post-secondary
West Virginia Junior College Morgantown,west virginia junior college morgantown,www.wvjc.edu/,post-secondary
Carleton College,carleton college,https://www.carleton.edu/,post-secondary
Centura College,centura college,https://www.centuracollege.edu/campuses/richmond/,post-secondary
Pierce College-Puyallup,pierce college at puyallup,https://www.pierce.ctc.edu/index.html,post-secondary
American Academy Of Acupuncture And Oriental Medicine,american academy of acupuncture and oriental medicine,www.aaaom.edu/,post-secondary
Erie 2 Chautauqua Cattaraugus Boces,erie 2-chautauqua-cattaraugus boces,www.e2ccb.org/,post-secondary
Memphis Theological Seminary,memphis theological seminary,www.memphisseminary.edu/,post-secondary
Modern Hairstyling Institute,modern hairstyling institute,www.modern.edu/,post-secondary
Southeast Missouri Hospital College Of Nursing And Health Sciences,southeast missouri hospital college of nursing and health sciences,www.sehcollege.edu/,post-secondary
Kenneth Shuler School Of Cosmetology-North Augusta,kenneth shuler school of cosmetology-north augusta,www.kennethshuler.com/,post-secondary
Baylor College Of Medicine,baylor college of medicine,www.bcm.edu/,post-secondary
Seminole State College Of Florida,seminole state college of florida,https://www.seminolestate.edu/,post-secondary
Scott College Of Cosmetology,scott college of cosmetology,www.scottcollegeofcosmetology.edu/,post-secondary
Stevensons Academy Of Hair Design,stevensons academy of hair design,www.stevenson-academy.com/,post-secondary
Ponce Health Sciences University,ponce health sciences university,https://www.psm.edu/,post-secondary
Columbia Southern University,columbia southern university,www.columbiasouthern.edu/,post-secondary
Nazarene Theological Seminary,nazarene theological seminary,www.nts.edu/,post-secondary
Georgian Court University,georgian court university,https://georgian.edu/,post-secondary
Institute Of Advanced Medical Esthetics,institute of advanced medical esthetics,www.theinstituteofadvancedmedicalesthetics.com/,post-secondary
South University,south university,"www.southuniversity.edu/austin#location=Austin, TX",post-secondary
Wilkes Community College,wilkes community college,www.wilkescc.edu/,post-secondary
Sebring Career Schools-Houston,sebring career schools-houston,sebringcareerschools.com/,post-secondary
Ata College,ata college,www.atacollege.edu,post-secondary
Visible Music College,visible music college,www.visible.edu/,post-secondary
Contra Costa College,contra costa college,https://www.contracosta.edu/,post-secondary
Northeast State Community College,northeast state community college,www.northeaststate.edu/,post-secondary
Ayers Career College,ayers career college,www.ayers.edu/,post-secondary
Southwest Mississippi Community College,southwest mississippi community college,www.smcc.edu/,post-secondary
Tennessee State University,tennessee state university,www.tnstate.edu/,post-secondary
Mount Mary University,mount mary university,www.mtmary.edu/,post-secondary
Baldwin Beauty School-North Austin,baldwin beauty school-north austin,baldwinbeautyschools.com/,post-secondary
Ave Maria School Of Law,ave maria school of law,https://www.avemarialaw.edu/,post-secondary
Emperor's College Of Traditional Oriental Medicine,emperor's college of traditional oriental medicine,www.emperors.edu/,post-secondary
Manchester University,manchester university,www.manchester.edu/,post-secondary
Mr Wayne's School Of Unisex Hair Design,mr waynes school of unisex hair design,www.misterwaynes.com/,post-secondary
Lasell University,lasell university,www.lasell.edu/,post-secondary
St. Charles Community College,st. charles community college,www.stchas.edu/,post-secondary
A.T. Still University Of Health Sciences,a.t. still university of health sciences,www.atsu.edu/,post-secondary
University Of Puerto Rico-Cayey,university of puerto rico-cayey,www.cayey.upr.edu/,post-secondary
Advanced Career Institute,advanced career institute,https://advanced.edu/,post-secondary
Southern Regional Technical College,southern regional technical college,southernregional.edu/,post-secondary
Eastern Suffolk Boces,eastern suffolk boces,www.esboces.org/,post-secondary
Advanced Beauty College,advanced beauty college,www.advancedbeautycollege.net/,post-secondary
Joliet Junior College,joliet junior college,www.jjc.edu/,post-secondary
Des Moines Area Community College,des moines area community college,www.dmacc.edu/,post-secondary
Great Plains Technology Center,great plains technology center,www.greatplains.edu/,post-secondary
Auburn Career Center,auburn career center,www.auburncc.org/,post-secondary
Southern Careers Institute-Harlingen,southern careers institute-harlingen,www.scitexas.edu/,post-secondary
Rob Roy Academy-Fall River,rob roy academy-fall river,www.rob-roy.com/,post-secondary
Fremont College,fremont college,https://www.fremont.edu/,post-secondary
Pioneer Career And Technology Center,pioneer career and technology center,www.pctc.k12.oh.us/,post-secondary
Zane State College,zane state college,www.zanestate.edu/,post-secondary
Southwestern Oklahoma State University,southwestern oklahoma state university,https://www.swosu.edu/,post-secondary
Panola College,panola college,www.panola.edu/,post-secondary
Mid Michigan Community College,mid michigan community college,www.midmich.edu/,post-secondary
Moberly Area Community College,moberly area community college,www.macc.edu/,post-secondary
Drexel University,drexel university,https://drexel.edu/,post-secondary
Cleveland State Community College,cleveland state community college,www.clevelandstatecc.edu/,post-secondary
Ashland County-West Holmes Career Center,ashland county-west holmes career center,www.acwhcc.org/,post-secondary
Center For Employment Training,center for employment training,https://cetweb.edu/,post-secondary
California Hair Design Academy,california hair design academy,https://chdaschools.com/,post-secondary
Metropolitan College Of New York,metropolitan college of new york,https://www.mcny.edu/,post-secondary
Upper Iowa University,upper iowa university,https://www.uiu.edu/,post-secondary
Applied Technology Services,applied technology services,www.appliedtech-stl.com/,post-secondary
Neighborhood Playhouse School Of The Theater,the neighborhood playhouse school of the theater,www.neighborhoodplayhouse.org/,post-secondary
Hamrick School,hamrick school,https://www.hamrickschool.edu/,post-secondary
Northwest Nazarene University,northwest nazarene university,www.nnu.edu/,post-secondary
L3Harris Technologies,l3harris technologies,l3harris.com,post-secondary
The Landing School,the landing school,www.landingschool.edu/,post-secondary
Washington College,washington college,www.washcoll.edu/,post-secondary
Lake Forest Graduate School Of Management,lake forest graduate school of management,www.lfgsm.edu/,post-secondary
Campbellsville University,campbellsville university,https://www.campbellsville.edu/,post-secondary
Queens University Of Charlotte,queens university of charlotte,www.queens.edu/,post-secondary
Caribbean University-Vega Baja,caribbean university-vega baja,www.caribbean.edu/,post-secondary
Summit Christian College,summit christian college,www.summitcc.edu/,post-secondary
Taylor Andrews Academy-St George,taylor andrews academy-st george,www.taylorandrewstgeorge.com/,post-secondary
Evans Hairstyling College-Rexburg,evans hairstyling college-rexburg,www.evanshairstylingcollege.com/,post-secondary
Pci College,pci college,www.pci-ed.com/,post-secondary
New Professions Technical Institute,new professions technical institute,www.npti.edu/,post-secondary
Educational Technical College-Recinto De Bayamon,educational technical college-recinto de bayamon,www.edutecpr.com/,post-secondary
Howard Payne University,howard payne university,www.hputx.edu/,post-secondary
Lincoln Technical Institute,lincoln tech,www.lincolntech.edu,post-secondary
Arnolds Beauty School,arnolds beauty school,arnoldsbeautyschool.com/,post-secondary
Cumberland County College,cumberland county college,https://www.rcsj.edu/,post-secondary
Houston Training School,houston training school,houstontrainingschools.net/,post-secondary
Family Of Faith Christian University,family of faith christian university,www.familyoffaith.edu/,post-secondary
Methodist Theological School In Ohio,methodist theological school in ohio,www.mtso.edu/,post-secondary
Becker College,becker college,www.becker.edu/,post-secondary
Ecclesia College,ecclesia college,ecollege.edu/,post-secondary
Alabama A & M University,alabama a&m university,www.aamu.edu/,post-secondary
Duvall's School Of Cosmetology,duvall's school of cosmetology,www.duvallschool.com/,post-secondary
Spartan College Of Aeronautics & Technology,spartan college of aeronautics and technology,www.spartan.edu/,post-secondary
Miami Ad School-San Francisco,miami ad school-san francisco,www.miamiadschool.com/,post-secondary
Milan Institute-Amarillo,milan institute-amarillo,www.milaninstitute.edu/,post-secondary
Grand View University,grand view university,www.grandview.edu/,post-secondary
Birmingham-Southern College,birmingham-southern college,www.bsc.edu/,post-secondary
West Liberty University,west liberty university,www.westliberty.edu/,post-secondary
Suffolk County Community College,suffolk county community college,sunysuffolk.edu,post-secondary
Ucas University Of Cosmetology Arts & Sciences,ucas university of cosmetology arts & sciences,www.ucastx.com/,post-secondary
Caddo Kiowa Technology Center,caddo kiowa technology center,www.mycktc.com/,post-secondary
Pima Medical Institute,pima medical institute,pmi.edu/,post-secondary
Columbia College,columbia college,www.gocolumbia.edu/,post-secondary
Occidental College,occidental college,https://www.oxy.edu/,post-secondary
San Diego Christian College,san diego christian college,sdcc.edu/,post-secondary
John Wood Community College,john wood community college,www.jwcc.edu/,post-secondary
Prairie State College,prairie state college,www.prairiestate.edu/,post-secondary
Point Loma Nazarene University,point loma nazarene university,www.pointloma.edu/,post-secondary
Western Oregon University,western oregon university,www.wou.edu/,post-secondary
Roberts Wesleyan University,roberts wesleyan university,www.roberts.edu/,post-secondary
Huertas Junior College,huertas junior college,www.huertas.edu/,post-secondary
Platt College-Los Angeles,platt college-los angeles,www.plattcollege.edu/,post-secondary
Icahn School Of Medicine At Mount Sinai,icahn school of medicine at mount sinai,icahn.mssm.edu/,post-secondary
Compass Career College,compass career college,www.compasscareercollege.net/,post-secondary
Gwinnett College,gwinnett college,www.gwinnettcollege.edu/,post-secondary
Central College,central college,www.central.edu/,post-secondary
Truckee Meadows Community College,truckee meadows community college,www.tmcc.edu/,post-secondary
World Mission University,world mission university,www.wmu.edu/,post-secondary
University Of Pikeville,university of pikeville,www.upike.edu/,post-secondary
William Peace University,william peace university,www.peace.edu/,post-secondary
Bennington College,bennington college,www.bennington.edu/,post-secondary
Peirce College,peirce college,https://www.peirce.edu/,post-secondary
Westminster College (PA),westminster college (pa),www.westminster.edu/,post-secondary
All-State Career School,all-state career, inc,www.allstatecareer.edu/,post-secondary
Johnson C. Smith University,johnson c. smith university-jcsu,www.jcsu.edu/,post-secondary
Brighton Institute Of Cosmetology,brighton institute of cosmetology,www.brightoninstitute.net/,post-secondary
American Institute,american institute,americaninstitute.edu,post-secondary
Western Maricopa Education Center,western maricopa education center,https://west-mec.edu/findyourhappy/,post-secondary
Mason Anthony School Of Cosmetology Arts & Sciences,mason anthony school of cosmetology arts & sciences,https://www.masonanthony.com/,post-secondary
Salon Institute,salon institute,www.saloninstitute.edu/,post-secondary
University Of Puerto Rico-Carolina,university of puerto rico-carolina,www.uprc.edu/,post-secondary
The Juilliard School,the juilliard school,www.juilliard.edu/,post-secondary
United Education Institute,united education institute,https://www.uei.edu/,post-secondary
Randolph Technical Center,randolph technical center,rtc.rand.k12.wv.us/,post-secondary
University Of Georgia,the university of georgia,www.uga.edu/,post-secondary
Austin's Beauty College Inc,austin's beauty college inc,www.austinbeautycollege.com/,post-secondary
Monroe County Community College,monroe county community college,www.monroeccc.edu/,post-secondary
Hope College Of Arts And Sciences,hope college of arts and sciences,hcas.edu/,post-secondary
Lamar State College Orange,lamar state college orange,www.lsco.edu/,post-secondary
Summit Salon Academy,summit salon academy,www.summitsalonacademyportland.com/,post-secondary
National Career Institute,national career institute,nciedu.com/,post-secondary
Fayetteville Technical Community College,fayetteville technical community college,https://www.faytechcc.edu/,post-secondary
Rowan College At Burlington County,rowan college at burlington county,www.rcbc.edu/,post-secondary
Passaic County Community College,passaic county community college,www.pccc.edu/,post-secondary
The Spa School,the spa school,https://salonschools.ohiostate.edu/,post-secondary
West Georgia Technical College,west georgia technical college,https://www.westgatech.edu/,post-secondary
Robert Morgan Educational Center And Technical College,robert morgan educational center and technical college,rmec.dadeschools.net/,post-secondary
Pennsylvania State University-Penn State Berks,pennsylvania state university-penn state berks,berks.psu.edu/,post-secondary
University Of Pittsburgh,university of pittsburgh,www.pitt.edu/,post-secondary
Schuylkill Health School of Nursing,schuylkill health school of nursing,www.schuylkillhealthschoolofnursing.com/,post-secondary
Roger Williams University,roger williams university,https://www.rwu.edu/,post-secondary
Remington College,remington college,www.remingtoncollege.edu,post-secondary
California State University-Stanislaus,california state university, stanislaus,https://www.csustan.edu/,post-secondary
City College Of San Francisco,city college of san francisco,www.ccsf.edu/,post-secondary
Trinidad State College,trinidad state college,www.trinidadstate.edu/,post-secondary
Colorado Northwestern Community College,colorado northwestern community college,www.cncc.edu/,post-secondary
Dodge City Community College,dodge city community college,https://dc3.edu/,post-secondary
Yeshiva Yesodei Hatorah,yeshiva yesodei hatorah,yeshivayesodeihatorahlakewood.com/,post-secondary
Corban University,corban university,www.corban.edu/,post-secondary
Bryn Athyn College Of The New Church,bryn athyn college of the new church,www.brynathyn.edu/,post-secondary
Northwest College,northwest college,www.nwc.edu/,post-secondary
Warren County Career Center,warren county career center,www.mywccc.org/,post-secondary
University Of North Texas At Dallas,university of north texas at dallas,untdallas.edu/,post-secondary
Wisconsin Indianhead Technical College,wisconsin indianhead technical college foundation,https://www.witc.edu/,post-secondary
Solano Community College,solano community college,www.solano.edu/,post-secondary
Palladium Technical Academy,palladium technical academy,palladiumta.com,post-secondary
American Beauty School,american beauty school,www.americanbeautyschool.edu/,post-secondary
Clark Atlanta University,clark atlanta university,www.cau.edu/,post-secondary
South Georgia Technical College,south georgia technical college,www.southgatech.edu/,post-secondary
Dalton State College,dalton state college,https://www.daltonstate.edu/index.cms,post-secondary
Tricoci University Of Beauty Culture,tricoci university of beauty culture,www.tricociuniversity.edu/,post-secondary
Saint John's University,saint john's university,https://csbsju.edu/,post-secondary
Chief Dull Knife College,chief dull knife college,cdkc.edu/,post-secondary
Kettering College,kettering college,kc.edu/,post-secondary
Tulsa Welding School-Jacksonville,tulsa welding school-jacksonville campus,https://www.tws.edu/,post-secondary
