display_name,pdl_name,type
"New York, New York","new york, new york, united states",city
"Los Angeles, California","los angeles, california, united states",city
"Chicago, Illinois","chicago, illinois, united states",city
"Miami, Florida","miami, florida, united states",city
"Houston, Texas","houston, texas, united states",city
"Dallas, Texas","dallas, texas, united states",city
"Philadelphia, Pennsylvania","philadelphia, pennsylvania, united states",city
"Atlanta, Georgia","atlanta, georgia, united states",city
"Washington, District of Columbia","washington, district of columbia, united states",city
"Boston, Massachusetts","boston, massachusetts, united states",city
"Phoenix, Arizona","phoenix, arizona, united states",city
"Detroit, Michigan","detroit, michigan, united states",city
"Seattle, Washington","seattle, washington, united states",city
"San Francisco, California","san francisco, california, united states",city
"San Diego, California","san diego, california, united states",city
"Minneapolis, Minnesota","minneapolis, minnesota, united states",city
"Tampa, Florida","tampa, florida, united states",city
"Brooklyn, New York","brooklyn, new york, united states",city
"Denver, Colorado","denver, colorado, united states",city
"Queens, New York","queens, new york, united states",city
"Riverside, California","riverside, california, united states",city
"Las Vegas, Nevada","las vegas, nevada, united states",city
"Baltimore, Maryland","baltimore, maryland, united states",city
"St. Louis, Missouri","st. louis, missouri, united states",city
"Portland, Oregon","portland, oregon, united states",city
"San Antonio, Texas","san antonio, texas, united states",city
"Sacramento, California","sacramento, california, united states",city
"Austin, Texas","austin, texas, united states",city
"Orlando, Florida","orlando, florida, united states",city
"San Juan, Puerto Rico","san juan, puerto rico, puerto rico",city
"San Jose, California","san jose, california, united states",city
"Indianapolis, Indiana","indianapolis, indiana, united states",city
"Pittsburgh, Pennsylvania","pittsburgh, pennsylvania, united states",city
"Cincinnati, Ohio","cincinnati, ohio, united states",city
"Manhattan, New York","manhattan, new york, united states",city
"Kansas City, Missouri","kansas city, missouri, united states",city
"Cleveland, Ohio","cleveland, ohio, united states",city
"Columbus, Ohio","columbus, ohio, united states",city
"Bronx, New York","bronx, new york, united states",city
"Charlotte, North Carolina","charlotte, north carolina, united states",city
"Virginia Beach, Virginia","virginia beach, virginia, united states",city
"Jacksonville, Florida","jacksonville, florida, united states",city
"Milwaukee, Wisconsin","milwaukee, wisconsin, united states",city
"Providence, Rhode Island","providence, rhode island, united states",city
"Nashville, Tennessee","nashville, tennessee, united states",city
"Salt Lake City, Utah","salt lake city, utah, united states",city
"Raleigh, North Carolina","raleigh, north carolina, united states",city
"Richmond, Virginia","richmond, virginia, united states",city
"Memphis, Tennessee","memphis, tennessee, united states",city
"Oklahoma City, Oklahoma","oklahoma city, oklahoma, united states",city
"Hartford, Connecticut","hartford, connecticut, united states",city
"Louisville, Kentucky","louisville, kentucky, united states",city
"Buffalo, New York","buffalo, new york, united states",city
"Fort Worth, Texas","fort worth, texas, united states",city
"Bridgeport, Connecticut","bridgeport, connecticut, united states",city
"New Orleans, Louisiana","new orleans, louisiana, united states",city
"Tucson, Arizona","tucson, arizona, united states",city
"El Paso, Texas","el paso, texas, united states",city
"Omaha, Nebraska","omaha, nebraska, united states",city
"McAllen, Texas","mcallen, texas, united states",city
"Birmingham, Alabama","birmingham, alabama, united states",city
"Albuquerque, New Mexico","albuquerque, new mexico, united states",city
"Tulsa, Oklahoma","tulsa, oklahoma, united states",city
"Charleston, South Carolina","charleston, south carolina, united states",city
"Fresno, California","fresno, california, united states",city
"Rochester, New York","rochester, new york, united states",city
"Dayton, Ohio","dayton, ohio, united states",city
"Cape Coral, Florida","cape coral, florida, united states",city
"Provo, Utah","provo, utah, united states",city
"Colorado Springs, Colorado","colorado springs, colorado, united states",city
"Mission Viejo, California","mission viejo, california, united states",city
"Allentown, Pennsylvania","allentown, pennsylvania, united states",city
"Baton Rouge, Louisiana","baton rouge, louisiana, united states",city
"Ogden, Utah","ogden, utah, united states",city
"Knoxville, Tennessee","knoxville, tennessee, united states",city
"Grand Rapids, Michigan","grand rapids, michigan, united states",city
"Columbia, South Carolina","columbia, south carolina, united states",city
"Albany, New York","albany, new york, united states",city
"Bakersfield, California","bakersfield, california, united states",city
"New Haven, Connecticut","new haven, connecticut, united states",city
"Des Moines, Iowa","des moines, iowa, united states",city
"Palm Bay, Florida","palm bay, florida, united states",city
"Akron, Ohio","akron, ohio, united states",city
"Concord, California","concord, california, united states",city
"Mesa, Arizona","mesa, arizona, united states",city
"Wichita, Kansas","wichita, kansas, united states",city
"Harrisburg, Pennsylvania","harrisburg, pennsylvania, united states",city
"Staten Island, New York","staten island, new york, united states",city
"Toledo, Ohio","toledo, ohio, united states",city
"Worcester, Massachusetts","worcester, massachusetts, united states",city
"Port St. Lucie, Florida","port st. lucie, florida, united states",city
"Little Rock, Arkansas","little rock, arkansas, united states",city
"Madison, Wisconsin","madison, wisconsin, united states",city
"Spokane, Washington","spokane, washington, united states",city
"Long Beach, California","long beach, california, united states",city
"Denton, Texas","denton, texas, united states",city
"Reno, Nevada","reno, nevada, united states",city
"Boise, Idaho","boise, idaho, united states",city
"Bonita Springs, Florida","bonita springs, florida, united states",city
"Kissimmee, Florida","kissimmee, florida, united states",city
"Augusta, Georgia","augusta, georgia, united states",city
"Springfield, Massachusetts","springfield, massachusetts, united states",city
"Oakland, California","oakland, california, united states",city
"Winston-Salem, North Carolina","winston-salem, north carolina, united states",city
"Stockton, California","stockton, california, united states",city
"Durham, North Carolina","durham, north carolina, united states",city
"Chattanooga, Tennessee","chattanooga, tennessee, united states",city
"Greenville, South Carolina","greenville, south carolina, united states",city
"Lancaster, Pennsylvania","lancaster, pennsylvania, united states",city
"Syracuse, New York","syracuse, new york, united states",city
"Fayetteville, Arkansas","fayetteville, arkansas, united states",city
"Pensacola, Florida","pensacola, florida, united states",city
"Arlington, Texas","arlington, texas, united states",city
"Aurora, Colorado","aurora, colorado, united states",city
"Scranton, Pennsylvania","scranton, pennsylvania, united states",city
"Oxnard, California","oxnard, california, united states",city
"Indio, California","indio, california, united states",city
"Victorville, California","victorville, california, united states",city
"Trenton, New Jersey","trenton, new jersey, united states",city
"Huntsville, Alabama","huntsville, alabama, united states",city
"Modesto, California","modesto, california, united states",city
"Honolulu, Hawaii","honolulu, hawaii, united states",city
"Greensboro, North Carolina","greensboro, north carolina, united states",city
"Fort Wayne, Indiana","fort wayne, indiana, united states",city
"Anaheim, California","anaheim, california, united states",city
"Corpus Christi, Texas","corpus christi, texas, united states",city
"Fort Collins, Colorado","fort collins, colorado, united states",city
"Antioch, California","antioch, california, united states",city
"Jackson, Mississippi","jackson, mississippi, united states",city
"Fayetteville, North Carolina","fayetteville, north carolina, united states",city
